"reactor_id","storage_condition","RNase_treated","day","target","concentration_technical_average","concentration_technical_standard_deviation","concentration_units","experiment_manuscript_label"
"20A4F",20,"N",0,"OL3a",178335.565693257,8782.74251004957,"gc.ml","20-2"
"20A4F",20,"Y",0,"OL3a",708029.323149861,166350.112263454,"gc.ml","20-2"
"20A4F",20,"N",0,"OL5a",262705.522719572,11863.6361984148,"gc.ml","20-2"
"20A4F",20,"Y",0,"OL5a",1004846.40480912,31550.8067159333,"gc.ml","20-2"
"20A4F",20,"N",0,"OL7b",3756801.14284895,460184.638908727,"gc.ml","20-2"
"20A4F",20,"Y",0,"OL7b",16502594.0619447,2681339.21971585,"gc.ml","20-2"
"20A4F",20,"N",0,"ORF",213750.69808441,7223.54738115113,"gc.ml","20-2"
"20A4F",20,"Y",0,"ORF",349100.988288964,3624.6423534,"gc.ml","20-2"
"20A4F",20,"N",1,"OL1b",336897.50323327,159086.082106158,"gc.ml","20-2"
"20A4F",20,"Y",1,"OL1b",39239.2377376842,14514.2534260313,"gc.ml","20-2"
"20A4F",20,"N",1,"OL3a",787635.629909514,13185.6203603592,"gc.ml","20-2"
"20A4F",20,"Y",1,"OL3a",46592.5747505442,23.7375540388346,"gc.ml","20-2"
"20A4F",20,"N",1,"OL5a",1093145.14691769,21129.1238862113,"gc.ml","20-2"
"20A4F",20,"Y",1,"OL5a",72088.5850423025,10798.0441494385,"gc.ml","20-2"
"20A4F",20,"N",1,"OL7b",17205752.4782098,413240.841736833,"gc.ml","20-2"
"20A4F",20,"Y",1,"OL7b",1121678.14669006,45001.9005079312,"gc.ml","20-2"
"20A4F",20,"N",1,"ORF",333676.378607538,16722.2425773368,"gc.ml","20-2"
"20A4F",20,"Y",1,"ORF",15526.8850825244,435.093843662134,"gc.ml","20-2"
"20A4F",20,"N",14,"OL1b",15901.3354512879,1449.27894778166,"gc.ml","20-2"
"20A4F",20,"Y",14,"OL1b",274065.257951493,1439.35056527063,"gc.ml","20-2"
"20A4F",20,"N",14,"OL3a",30186.572520412,2030.53487551706,"gc.ml","20-2"
"20A4F",20,"Y",14,"OL3a",492914.844127959,21162.1573532903,"gc.ml","20-2"
"20A4F",20,"N",14,"OL5a",24592.0132658974,7412.71011903453,"gc.ml","20-2"
"20A4F",20,"Y",14,"OL5a",679470.533201611,58165.3670947526,"gc.ml","20-2"
"20A4F",20,"N",14,"OL7b",566035.329358752,191469.407784433,"gc.ml","20-2"
"20A4F",20,"Y",14,"OL7b",11657865.171376,2108952.1316297,"gc.ml","20-2"
"20A4F",20,"N",14,"ORF",3934.5979421942,531.027291859025,"gc.ml","20-2"
"20A4F",20,"Y",14,"ORF",171252.179009885,2732.60486232715,"gc.ml","20-2"
"20A4F",20,"N",21,"OL1b",66581.7487667652,3779.37679397855,"gc.ml","20-2"
"20A4F",20,"Y",21,"OL1b",277786.774134955,19203.9853469809,"gc.ml","20-2"
"20A4F",20,"N",21,"OL3a",75959.1222258313,12279.9496507258,"gc.ml","20-2"
"20A4F",20,"Y",21,"OL3a",432606.037723923,86018.3320356233,"gc.ml","20-2"
"20A4F",20,"N",21,"OL5a",110904.619053976,40776.7133126046,"gc.ml","20-2"
"20A4F",20,"Y",21,"OL5a",627806.063961192,73555.9131950017,"gc.ml","20-2"
"20A4F",20,"N",21,"OL7b",2118854.18724747,378069.166963972,"gc.ml","20-2"
"20A4F",20,"Y",21,"OL7b",9436257.78948518,4703438.38991642,"gc.ml","20-2"
"20A4F",20,"N",21,"ORF",71959.826537392,4340.88761012464,"gc.ml","20-2"
"20A4F",20,"Y",21,"ORF",362243.133162967,815.14324894745,"gc.ml","20-2"
"20A4F",20,"N",28,"OL1b",159863.180791785,113760.019085291,"gc.ml","20-2"
"20A4F",20,"Y",28,"OL1b",204147.592301734,132871.962380175,"gc.ml","20-2"
"20A4F",20,"N",28,"OL3a",257743.590187721,5007.86995610147,"gc.ml","20-2"
"20A4F",20,"Y",28,"OL3a",486878.879610243,21847.5445120658,"gc.ml","20-2"
"20A4F",20,"N",28,"OL5a",487237.215669039,29043.9934756533,"gc.ml","20-2"
"20A4F",20,"Y",28,"OL5a",718255.515488105,117135.351201667,"gc.ml","20-2"
"20A4F",20,"N",28,"OL7b",7025357.0266986,1614823.48432165,"gc.ml","20-2"
"20A4F",20,"Y",28,"OL7b",12528952.3891774,2996080.56948334,"gc.ml","20-2"
"20A4F",20,"N",28,"ORF",282255.553059788,146.269089190843,"gc.ml","20-2"
"20A4F",20,"Y",28,"ORF",412152.26454691,27497.2151177631,"gc.ml","20-2"
"20A4F",20,"N",7,"OL1b",109243.567934641,18136.217276688,"gc.ml","20-2"
"20A4F",20,"Y",7,"OL1b",409808.488897036,748.183245650769,"gc.ml","20-2"
"20A4F",20,"N",7,"OL3a",175952.633898667,41918.9540970527,"gc.ml","20-2"
"20A4F",20,"Y",7,"OL3a",689268.970089115,32036.3440848883,"gc.ml","20-2"
"20A4F",20,"N",7,"OL5a",210710.922063827,47924.2395551177,"gc.ml","20-2"
"20A4F",20,"Y",7,"OL5a",825540.501985312,216113.356198604,"gc.ml","20-2"
"20A4F",20,"N",7,"OL7b",3960537.84324202,314033.147183841,"gc.ml","20-2"
"20A4F",20,"Y",7,"OL7b",14506219.7199249,3283625.45244778,"gc.ml","20-2"
"20A4F",20,"N",7,"ORF",102243.293542421,7523.61274855319,"gc.ml","20-2"
"20A4F",20,"Y",7,"ORF",373025.484722752,7829.24745813235,"gc.ml","20-2"
"15A5F",15,"N",0,"HuNoV_culture",419534.466666667,266527.953739931,"gc.ml","15-1"
"15A5F",15,"N",1,"HuNoV_culture",47226.15,14586.7443430232,"gc.ml","15-1"
"15A5F",15,"N",14,"HuNoV_culture",13400,0,"gc.ml","15-1"
"15A5F",15,"N",21,"HuNoV_culture",13400,0,"gc.ml","15-1"
"15A5F",15,"N",28,"HuNoV_culture",13400,0,"gc.ml","15-1"
"15A5F",15,"N",7,"HuNoV_culture",13400,0,"gc.ml","15-1"
"15A6F",15,"N",0,"HuNoV_culture",885135.2,236538.996544096,"gc.ml","15-2"
"15A6F",15,"N",1,"HuNoV_culture",508859.416666667,228306.135377895,"gc.ml","15-2"
"15A6F",15,"N",3,"HuNoV_culture",177335.833333333,104551.142344877,"gc.ml","15-2"
"15A6F",15,"N",5,"HuNoV_culture",153255.55,77467.6481620489,"gc.ml","15-2"
"20A1F",20,"N",0,"HuNoV_culture",814400,967146.979522761,"gc.ml","20-1"
"20A1F",20,"N",1,"HuNoV_culture",355266.666666667,449944.01133178,"gc.ml","20-1"
"20A1F",20,"N",7,"HuNoV_culture",107500,19792.6754128895,"gc.ml","20-1"
