sample_id,id,storage_condition,reactor,filtered,RNase_treated,time_point,dilution_factor,target,task,CT,plate_id,Exp_loc,experiment,experiment_manuscript_label
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK7,UNKNOWN,23.46966,P1004,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK7,UNKNOWN,23.45376,P1004,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,ORF,UNKNOWN,21.49321,P1005,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,ORF,UNKNOWN,21.61458,P1005,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,ORF,UNKNOWN,21.22589,P1005,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,ORF,UNKNOWN,21.17855,P1005,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,ORF,UNKNOWN,21.37111,P1005,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,ORF,UNKNOWN,21.33516,P1005,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,ORF,UNKNOWN,21.18678,P1005,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,ORF,UNKNOWN,21.28223,P1005,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,ORF,UNKNOWN,20.89823,P1005,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,ORF,UNKNOWN,21.46732,P1005,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,ORF,UNKNOWN,21.17101,P1005,CDC_collab,2,15-2
