"quantity","CT","plate_id","target"
400,26.96313,"P1004","MK7"
400,26.64115,"P1004","MK7"
400,26.70999,"P1004","MK7"
40,29.83403,"P1004","MK5"
40,29.58885,"P1004","MK5"
40,30.51193,"P1004","MK5"
40,30.72422,"P1004","MK7"
40,30.52059,"P1004","MK7"
40,30.95687,"P1004","MK7"
4,31.55879,"P1004","MK5"
4,32.58369,"P1004","MK5"
4,32.90626,"P1004","MK5"
4,34.69453,"P1004","MK7"
4,32.74081,"P1004","MK7"
2e+05,16.69825,"P1005","ORF"
2e+05,16.57019,"P1005","ORF"
2e+05,16.44338,"P1005","ORF"
20000,20.58125,"P1005","ORF"
20000,20.69917,"P1005","ORF"
20000,20.64427,"P1005","ORF"
2000,24.69105,"P1005","ORF"
2000,24.90685,"P1005","ORF"
2000,24.64511,"P1005","ORF"
200,28.78706,"P1005","ORF"
200,28.3995,"P1005","ORF"
200,28.89181,"P1005","ORF"
20,32.1907,"P1005","ORF"
20,32.89948,"P1005","ORF"
20,32.34161,"P1005","ORF"
2,35.62291,"P1005","ORF"
2,34.34242,"P1005","ORF"
10,32.49534,"P91","OL1b"
10,34.2877,"P95","OL1b"
10,33.97554,"P95","OL1b"
100,28.19628,"P91","OL1b"
100,27.79964,"P91","OL1b"
100,33.27417,"P95","OL1b"
100,31.89143,"P95","OL1b"
1000,25.4717,"P91","OL1b"
1000,25.45208,"P91","OL1b"
1e+06,14.52891,"P92","OL3a"
1e+06,14.75136,"P92","OL3a"
1e+05,18.84813,"P92","OL3a"
1e+05,18.58178,"P92","OL3a"
10000,22.6377,"P92","OL3a"
10000,22.10385,"P92","OL3a"
1000,25.8547,"P92","OL3a"
1000,26.18559,"P92","OL3a"
100,29.73129,"P92","OL3a"
100,28.68361,"P92","OL3a"
10,33.09571,"P92","OL3a"
10,34.28487,"P92","OL3a"
10,35.86866,"P99","OL7b"
1000,31.82723,"P95","OL1b"
1000,29.58194,"P95","OL1b"
10000,20.93941,"P91","OL1b"
10000,22.59907,"P95","OL1b"
10000,22.58349,"P95","OL1b"
1e+05,17.32302,"P91","OL1b"
1e+05,17.92787,"P91","OL1b"
1e+05,18.8121,"P95","OL1b"
1e+06,13.16967,"P91","OL1b"
1e+06,12.87215,"P91","OL1b"
1e+06,14.46551,"P95","OL1b"
1e+06,14.39085,"P95","OL1b"
1e+06,14.37092,"P96","OL3a"
1e+06,15.52866,"P96","OL3a"
1e+05,18.22653,"P96","OL3a"
1e+05,18.48893,"P96","OL3a"
10000,21.1186,"P96","OL3a"
10000,21.18786,"P96","OL3a"
1000,25.61453,"P96","OL3a"
1000,25.86538,"P96","OL3a"
100,30.06892,"P96","OL3a"
100,28.99748,"P96","OL3a"
10,33.24392,"P96","OL3a"
100,38.77087,"P99","OL7b"
1e+06,15.9847,"P99","OL5a"
1e+06,16.04591,"P99","OL5a"
1000,35.56326,"P99","OL7b"
1000,33.14573,"P99","OL7b"
1e+06,15.7363,"P100","OL5a"
1e+06,15.82849,"P100","OL5a"
1000,32.97041,"P100","OL7b"
1000,33.59058,"P100","OL7b"
1e+05,19.71864,"P99","OL5a"
1e+05,20.66986,"P99","OL5a"
1e+05,19.58897,"P100","OL5a"
1e+05,19.8743,"P100","OL5a"
10000,24.44812,"P99","OL5a"
10000,24.26958,"P99","OL5a"
10000,29.48719,"P99","OL7b"
10000,29.82951,"P99","OL7b"
10000,24.02653,"P100","OL5a"
10000,24.11009,"P100","OL5a"
10000,28.73031,"P100","OL7b"
10000,29.85617,"P100","OL7b"
1000,28.10821,"P99","OL5a"
1000,27.85853,"P99","OL5a"
1000,27.68966,"P100","OL5a"
1000,27.59814,"P100","OL5a"
100,30.81097,"P99","OL5a"
1e+05,27.52345,"P99","OL7b"
1e+05,25.33162,"P99","OL7b"
100,30.66895,"P100","OL5a"
100,33.54642,"P100","OL5a"
1e+05,27.77953,"P100","OL7b"
1e+05,27.88348,"P100","OL7b"
10,34.59629,"P99","OL5a"
10,32.99566,"P100","OL5a"
1e+06,21.31645,"P99","OL7b"
1e+06,21.68746,"P99","OL7b"
1e+06,21.55072,"P100","OL7b"
1e+06,20.9584,"P100","OL7b"
5e+06,13.5304,"P89","ORF"
5e+06,13.29049,"P89","ORF"
5e+05,16.92653,"P89","ORF"
5e+05,16.8526,"P89","ORF"
50000,20.48935,"P89","ORF"
50000,20.45061,"P89","ORF"
5000,24.30502,"P89","ORF"
5000,24.22748,"P89","ORF"
500,27.87786,"P89","ORF"
500,27.8759,"P89","ORF"
50,31.57757,"P89","ORF"
50,32.64698,"P89","ORF"
5,35.24223,"P89","ORF"
5,35.19404,"P89","ORF"
